Class, Comments
1, প্রাইস হিসেবে ভালোই
1, যা পেয়েছি তাতেই খুশি। ধন্যবাদ। 
0, ছবির সাথে কোনো মিল নাই । আর কাপড়ের কোয়ালিটিও অতোটা ভালো না
1, নিয়েছি। প্রডাক্ট কোয়ালিটি ভালো
0, একেবারে লো কোয়ালিটির কাপড়। 
0, আমার একটুও পছন্দ হয়নি। কাপড় হিসেবে দাম বেশি। 
1, জাস্ট ওয়ান্ডারফুল!
0, কালারের ভিন্নতা আছে। 
1, সত্যি দাম অনুযায়ী খুব সুন্দর পণ্য পেলাম ধন্যবাদ। 
0, প্রডাক্ট কোয়ালিটি ভালনা। আরো ভাল চেয়েছিলাম।
1, ধন্যবাদ আমি হাতে পেয়েছি। 
0, একবারে ডিজাস্টার!
0, ভালো ছিল না।অন্য ডিজাইন দিয়ে দেয়া হয়েছে।
0, এভাবে প্রতারণার কোন মানে হয় না। 
1, অনেক ভালো খুব খুব ভালো,ধন্যবাদ সেলার।
0, অর্ডার দিসি একটা আসছে অন্য একটা ।
1, আমার কাছে ভালই মনে হয়েছে। 
0, পুওর কোয়ালিটি।
1, এক কথায় অসাধারণ মাস্ক।
0, টাকাগুলা পানিতে ফেললাম।
1, এক্সিলেন্ট !
0, ভাই অবস্থা অনেক খারাপ।
0, অসম্ভব বাজে মাল।
0, ভাইরে দুনিয়া অনেক খারাপ। ফেক মাস্ক দিসে।
1, অনেক কমফোর্টেবল।
1, ভাই একটা ধন্যবাদ পাওনা রইলেন।
1, হাইলি রিকমেন্ডেড।
1, রিয়েলি এপ্রিশিয়েটেড।
0, সবাইরে বোকা বানাইলেন।
0, ধোকাবাজির একটা লিমিট আছে।
1, আসলেই কোয়ালিটি ভাল। ধন্যবাদ ভাই।
0, যত্তসব বাটপারি।
0, টাকাগুলা লস হইসে।
0, ধান্দাবাজি আর কত।
1, প্রডাক্ট অথেনটিক।
1, রিয়েলি হ্যাপি।
0, হায়রে সেলার। পুরা চিটিংবাজ।
0, এতটা অমিল প্রডাক্ট।
1, থ্যাংকস সেলার।
0, পুরাই ধরা খাইলাম।
0, ধোকাবাজ সেলার।
1, আজকে আসলেই মন ভাল হয়ে গেল।
0, সবকিছু বিবেচনা করলে ভালোই। 
1, একদম পারফেক্ট প্রোডাক্ট দিয়েছে। অসংখ্য ধন্যবাদ
1, অবশ্যই ভাল একটা প্রোডাক্ট।
1, সেলার ধন্যবাদ পাওয়ার যোগ্য।
1, প্রোডাক্ট ইনটেক ছিল।
1, সব কিছু মিলিয়ে স্যাটিসফাইড
1, এক কথায় বলতে গেলে কম বাজেটে বেশি পাওয়া।
1, সব মিলাইয়া ভাল প্রডাক্ট
0, বেইমানি করলেন ।
0, প্রবলেম পাইছি ।
1, এই দামে সব থেকে ভালো পণ্য। অরজিনাল
0, পুরাটাই সমস্যা।
0, এইটা কিনে বিপদে পড়লাম।
1, কোয়ালিটি জাস্ট অসাধারণ
1, কোয়ালিটি জোস, রেকমেন্ডেড।
0, সন্তুষ্ট করতে পারলেন না।
1, প্রাইস অনুযায়ী এক কথায় বেস্ট!
1, প্যাকেজিং থেকে শুরু পণ্যের কোয়ালিটি পর্যন্ত সবকিছু পার্ফেক্ট 
0, এই সেলার এর পণ্য কেনা মানে আশাহত হওয়া।
1, অনেক খুশি হয়েছি, সত্যি খুবি ভালো মানের
1, দেখতে বেশ সুন্দর। 
1, কেউ নিলে ঠকবেন না।
1, সময়ের আগেই পেয়েছি। কোনো সমস্যা নেই
0, বিরক্তিকর একটা অবস্থা। খুব ঝামেলায় পড়লাম এটা কিনে। 
